ID,film,film_rating,cinema_score,release_date,run_time,budget,box_office_us_canada,box_office_other,box_office_worldwide,rotten_tomatoes_score,rotten_tomatoes_counts,metacritic_score,metacritic_counts,imdb_score,imdb_counts
1,Toy Story,,A,1995-11-22,,,22322567900.0,171210907,394436586,100,,,26,8.3,1089101
,A Bug's Life,G,A,1998-11-25,9500.0,,,200460294,363258859,92,91,7800.0,2300.0,720.0,319596
300.0,,G,A+,1999-11-24,,,245852179,,,,,,34,7.9,630573
,"Monsters, Inc.",G,A+,2001-11-02,,115000000,,272900000,,96,199,7900.0,35,,
5,Finding Nemo,G,A+,2003-05-30,100,94000000,339714978,,871014978,99,270,,38,8.2,
6,The Incredibles,PG,A+,2004-11-05,,9200000000.0,261441092,,,,,90,41,800.0,828986
,Cars,,A,,116,,,,461983149,,20400.0,73,39,,
,Ratatouille,,A,2007-06-29,,,,417280431,,,253,96,3700.0,8.1,851229
,,G,A,2008-06-27,9800.0,,223808164,,521311860,95,261,,,,
10,Up,PG,A+,,9600.0,175000000,293004164,442094918,,,297,88,37,8.3,1151249
11,Toy Story 3,G,,2010-06-18,,,415004880,651964823,1066969703,,31300.0,9200.0,,8.3,908222
1200.0,Cars 2,G,,2011-06-24,106,,191452396,36840000000.0,559852396,,,,,,225724
,Brave,,,,93,,237283207,301700000,538983207,7900.0,,,,710.0,452012
14,Monsters University,,,2013-06-21,104,200000000,,475066843,,,203,,,,398903
15,,,,2015-06-19,,,,501149463,85761117400.0,,387,,,,
16,,PG,A,2015-11-25,93,17500000000.0,123087120,209120551,,,,,,670.0,130324
17,Finding Dory,PG,A,,,200000000,486295561,,1028570889,94,339,7700.0,4800.0,7.2,
,,G,A,2017-06-16,,175000000,152901115,,383930656,69,,59,,6.7,128849
,,PG,A+,,,17500000000.0,,604181157,814641172,97,,,,8.4,
20,Incredibles 2,PG,A+,,118,200000000,608581744,63422361500.0,,93,,,,7.5,341353
21,Toy Story 4,,A,2019-06-21,,200000000,,639356585,1073394593,,,,,,28878300.0
2200.0,,,A-,,,,61555145,80384897,14194004200.0,88,,,,7.4,17491700.0
23,,,,,100,15000000000.0,94615400.0,,,,36000.0,,55,8,
,,PG,NA,2021-06-18,,0,1324302,,51112314,91,,71,,7.4,202404
,,,NA,2022-03-11,100,175000000,1399001,20414357,2181335800.0,,289,83,52,,158649
,Lightyear,,A-,2022-06-17,,200000000,,108118232,,,319,60,57,6.1,127045
27,Elemental,,,,101,,,34201761100.0,496444308,,262,,,700.0,140174
2800.0,Inside Out 2,,A,,96,,,,,,31300.0,73,,,168090
5,Finding Nemo,G,A+,2003-05-30,100,94000000,339714978,,871014978,99,270,,38,8.2,
,,G,A,2008-06-27,9800.0,,223808164,,521311860,95,261,,,,
20,Incredibles 2,PG,A+,,118,200000000,608581744,63422361500.0,,93,,,,7.5,341353
23,,,,,100,15000000000.0,94615400.0,,,,36000.0,,55,8,
,,PG,NA,2021-06-18,,0,1324302,,51112314,91,,71,,7.4,202404
,,,NA,2022-03-11,100,175000000,1399001,20414357,2181335800.0,,289,83,52,,158649
,Lightyear,,A-,2022-06-17,,200000000,,108118232,,,319,60,57,6.1,127045
2800.0,Inside Out 2,,A,,96,,,,,,31300.0,73,,,168090
